ID,invoiceNumber,supplier_ID,goodsReceipt_ID,purchaseOrder_ID,status,invoiceDate,dueDate,paidDate,subtotal,taxRate,taxAmount,totalAmount,paymentMethod,paymentRef,note,createdAt,createdBy,modifiedAt,modifiedBy
e4000001-0001-4000-8000-000000000001,IV-2024633-0001,e1000001-0061-4000-8000-000000000061,e3000001-0001-4000-8000-000000000001,a7000001-0001-4000-8000-000000000001,Approved,2024-03-08,2024-04-17,,2903850,10,290385,3194235,,,발주 PO-20240424-0001 정산,2024-01-01T00:00:00Z,admin,2024-01-01T00:00:00Z,admin
e4000001-0002-4000-8000-000000000002,IV-2024600-0002,e1000001-0078-4000-8000-000000000078,e3000001-0002-4000-8000-000000000002,a7000001-0002-4000-8000-000000000002,Paid,2024-12-01,2024-12-12,2024-12-06,6939714,10,693971,7633685,BANK_TRANSFER,,발주 PO-20240511-0002 정산,2024-01-01T00:00:00Z,admin,2024-01-01T00:00:00Z,admin
e4000001-0003-4000-8000-000000000003,IV-2024190-0003,e1000001-0081-4000-8000-000000000081,e3000001-0003-4000-8000-000000000003,a7000001-0003-4000-8000-000000000003,Approved,2024-12-04,2024-12-13,,633121,10,63312,696433,,,발주 PO-20241017-0003 정산,2024-01-01T00:00:00Z,admin,2024-01-01T00:00:00Z,admin
e4000001-0004-4000-8000-000000000004,IV-2024550-0004,e1000001-0094-4000-8000-000000000094,e3000001-0004-4000-8000-000000000004,a7000001-0004-4000-8000-000000000004,Approved,2024-09-06,2024-10-07,,10962903,10,1096290,12059193,,,발주 PO-20240928-0004 정산,2024-01-01T00:00:00Z,admin,2024-01-01T00:00:00Z,admin
e4000001-0005-4000-8000-000000000005,IV-2024516-0005,e1000001-0100-4000-8000-000000000100,e3000001-0005-4000-8000-000000000005,a7000001-0005-4000-8000-000000000005,Approved,2024-10-02,2024-11-08,,3088164,10,308816,3396980,,,발주 PO-20240623-0005 정산,2024-01-01T00:00:00Z,admin,2024-01-01T00:00:00Z,admin
e4000001-0006-4000-8000-000000000006,IV-2024277-0006,e1000001-0090-4000-8000-000000000090,e3000001-0006-4000-8000-000000000006,a7000001-0006-4000-8000-000000000006,Paid,2024-05-13,2024-06-21,2024-06-16,1075704,10,107570,1183274,BANK_TRANSFER,,발주 PO-20240108-0006 정산,2024-01-01T00:00:00Z,admin,2024-01-01T00:00:00Z,admin
e4000001-0007-4000-8000-000000000007,IV-2024873-0007,e1000001-0052-4000-8000-000000000052,e3000001-0007-4000-8000-000000000007,a7000001-0007-4000-8000-000000000007,Approved,2024-10-23,2024-11-08,,4720082,10,472008,5192090,,,발주 PO-20240124-0007 정산,2024-01-01T00:00:00Z,admin,2024-01-01T00:00:00Z,admin
e4000001-0008-4000-8000-000000000008,IV-2024667-0008,e1000001-0087-4000-8000-000000000087,e3000001-0008-4000-8000-000000000008,a7000001-0008-4000-8000-000000000008,Paid,2024-05-19,2024-06-01,2024-06-14,325924,10,32592,358516,BANK_TRANSFER,,발주 PO-20240202-0008 정산,2024-01-01T00:00:00Z,admin,2024-01-01T00:00:00Z,admin
e4000001-0009-4000-8000-000000000009,IV-2024901-0009,e1000001-0006-4000-8000-000000000006,e3000001-0009-4000-8000-000000000009,a7000001-0009-4000-8000-000000000009,Paid,2024-10-27,2024-11-26,2024-11-06,3564652,10,356465,3921117,BANK_TRANSFER,,발주 PO-20240421-0009 정산,2024-01-01T00:00:00Z,admin,2024-01-01T00:00:00Z,admin
e4000001-0010-4000-8000-000000000010,IV-2024650-0010,e1000001-0042-4000-8000-000000000042,e3000001-0010-4000-8000-000000000010,a7000001-0010-4000-8000-000000000010,Paid,2024-10-02,2024-11-09,2024-11-10,715350,10,71535,786885,BANK_TRANSFER,,발주 PO-20241119-0010 정산,2024-01-01T00:00:00Z,admin,2024-01-01T00:00:00Z,admin
