ID,customer_ID,segmentName,segmentCode,rfmScore,recencyScore,frequencyScore,monetaryScore,clusterLabel,description,modelName,modelVersion,analyzedAt
e9000001-0000-4000-8000-000000000001,f1000001-0000-4000-8000-000000000001,Loyal Customers,LOYAL,11,4,4,3,1,최근 방문+높은 빈도 충성 고객,KMeans+RFM,v1.0,2026-04-15T09:30:00Z
e9000001-0000-4000-8000-000000000002,f1000001-0000-4000-8000-000000000002,At Risk,ATRISK,7,2,2,3,3,이전 고액 고객이나 최근 방문 감소,KMeans+RFM,v1.0,2026-04-15T09:30:00Z
e9000001-0000-4000-8000-000000000003,f1000001-0000-4000-8000-000000000003,Potential Loyalist,POTENTIAL,9,2,3,4,2,성장 가능성 있는 중간 고객,KMeans+RFM,v1.0,2026-04-15T09:30:00Z
e9000001-0000-4000-8000-000000000004,f1000001-0000-4000-8000-000000000004,Champions,CHAMP,14,5,5,4,0,최고 가치 VIP 고객,KMeans+RFM,v1.0,2026-04-15T09:30:00Z
e9000001-0000-4000-8000-000000000005,f1000001-0000-4000-8000-000000000005,Loyal Customers,LOYAL,11,4,4,3,1,최근 방문+높은 빈도 충성 고객,KMeans+RFM,v1.0,2026-04-15T09:30:00Z
e9000001-0000-4000-8000-000000000006,f1000001-0000-4000-8000-000000000006,Hibernating,HIBERNATE,5,1,1,3,4,장기 미방문 휴면 고객,KMeans+RFM,v1.0,2026-04-15T09:30:00Z
e9000001-0000-4000-8000-000000000007,f1000001-0000-4000-8000-000000000007,Promising,PROMISING,8,4,2,2,2,최근 방문했으나 빈도 낮음,KMeans+RFM,v1.0,2026-04-15T09:30:00Z
e9000001-0000-4000-8000-000000000008,f1000001-0000-4000-8000-000000000008,Lost,LOST,4,1,1,2,4,이탈 위험 매우 높은 고객,KMeans+RFM,v1.0,2026-04-15T09:30:00Z
e9000001-0000-4000-8000-000000000009,f1000001-0000-4000-8000-000000000009,Champions,CHAMP,13,5,3,5,0,최고 가치 VIP 고객,KMeans+RFM,v1.0,2026-04-15T09:30:00Z
e9000001-0000-4000-8000-000000000010,f1000001-0000-4000-8000-000000000010,Champions,CHAMP,14,4,5,5,0,최고 가치 VIP 고객,KMeans+RFM,v1.0,2026-04-15T09:30:00Z
e9000001-0000-4000-8000-000000000011,f1000001-0000-4000-8000-000000000011,Loyal Customers,LOYAL,12,3,5,4,1,최근 방문+높은 빈도 충성 고객,KMeans+RFM,v1.0,2026-04-15T09:30:00Z
e9000001-0000-4000-8000-000000000012,f1000001-0000-4000-8000-000000000012,New Customers,NEW,7,5,2,1,2,최근 가입한 신규 고객,KMeans+RFM,v1.0,2026-04-15T09:30:00Z
e9000001-0000-4000-8000-000000000013,f1000001-0000-4000-8000-000000000013,At Risk,ATRISK,8,2,4,3,3,이전 충성 고객이나 이탈 위험,KMeans+RFM,v1.0,2026-04-15T09:30:00Z
e9000001-0000-4000-8000-000000000014,f1000001-0000-4000-8000-000000000014,Loyal Customers,LOYAL,11,3,5,3,1,높은 빈도 충성 고객,KMeans+RFM,v1.0,2026-04-15T09:30:00Z
e9000001-0000-4000-8000-000000000015,f1000001-0000-4000-8000-000000000015,Champions,CHAMP,13,5,4,4,0,최고 가치 VIP 고객,KMeans+RFM,v1.0,2026-04-15T09:30:00Z
e9000001-0000-4000-8000-000000000016,f1000001-0000-4000-8000-000000000016,Lost,LOST,3,1,1,1,4,완전 이탈 고객,KMeans+RFM,v1.0,2026-04-15T09:30:00Z
e9000001-0000-4000-8000-000000000017,f1000001-0000-4000-8000-000000000017,Potential Loyalist,POTENTIAL,10,4,3,3,2,성장 가능성 있는 중간 고객,KMeans+RFM,v1.0,2026-04-15T09:30:00Z
e9000001-0000-4000-8000-000000000018,f1000001-0000-4000-8000-000000000018,Loyal Customers,LOYAL,12,5,4,3,1,최근 방문+높은 빈도 충성 고객,KMeans+RFM,v1.0,2026-04-15T09:30:00Z
e9000001-0000-4000-8000-000000000019,f1000001-0000-4000-8000-000000000019,Hibernating,HIBERNATE,5,2,1,2,4,장기 미방문 휴면 고객,KMeans+RFM,v1.0,2026-04-15T09:30:00Z
e9000001-0000-4000-8000-000000000020,f1000001-0000-4000-8000-000000000020,Champions,CHAMP,14,5,5,4,0,최고 가치 VIP 고객,KMeans+RFM,v1.0,2026-04-15T09:30:00Z
