ID,recommendDate,recommendedQty,currentStock,forecastDemand,safetyStock,leadTime,estimatedCost,priority,status,note,store_ID,product_ID,supplier_ID
f7000001-0001-4000-8000-000000000001,2026-04-16,200,50,180.0,100,3,4000000,HIGH,Pending,재고 부족 예상 - 현재 재고 50개 안전재고 100개 미만,d1000001-0002-4000-8000-000000000002,b1000001-0001-4000-8000-000000000001,e1000001-0001-4000-8000-000000000001
f7000001-0002-4000-8000-000000000002,2026-04-16,100,80,120.0,100,3,2500000,MEDIUM,Pending,안전재고 수준 도달 예상 - 3일 내 소진 전망,d1000001-0003-4000-8000-000000000003,b1000001-0001-4000-8000-000000000001,e1000001-0001-4000-8000-000000000001
f7000001-0003-4000-8000-000000000003,2026-04-16,80,60,95.0,50,5,1600000,MEDIUM,Pending,주간 수요 예측 기반 보충 권고,d1000001-0002-4000-8000-000000000002,b1000001-0003-4000-8000-000000000003,e1000001-0002-4000-8000-000000000002
f7000001-0004-4000-8000-000000000004,2026-04-16,50,90,70.0,60,4,1250000,LOW,Pending,계절 수요 증가 대비 사전 발주 권고,d1000001-0001-4000-8000-000000000001,b1000001-0002-4000-8000-000000000002,e1000001-0001-4000-8000-000000000001
f7000001-0005-4000-8000-000000000005,2026-04-15,150,20,160.0,100,3,3000000,HIGH,Accepted,긴급 - 재고 소진 임박 (2일 분량),d1000001-0002-4000-8000-000000000002,b1000001-0001-4000-8000-000000000001,e1000001-0001-4000-8000-000000000001
f7000001-0006-4000-8000-000000000006,2026-04-15,60,110,80.0,50,5,1500000,LOW,Accepted,정기 보충 - 주간 판매량 기반,d1000001-0001-4000-8000-000000000001,b1000001-0003-4000-8000-000000000003,e1000001-0002-4000-8000-000000000002
f7000001-0007-4000-8000-000000000007,2026-04-14,100,30,140.0,100,3,2000000,HIGH,Ordered,재고 부족 경고 - 현재 재고 안전재고 하회,d1000001-0003-4000-8000-000000000003,b1000001-0001-4000-8000-000000000001,e1000001-0001-4000-8000-000000000001
f7000001-0008-4000-8000-000000000008,2026-04-14,40,70,55.0,40,7,800000,MEDIUM,Ordered,판매 추세 증가 대비 추가 발주,d1000001-0004-4000-8000-000000000004,b1000001-0005-4000-8000-000000000005,e1000001-0003-4000-8000-000000000003
f7000001-0009-4000-8000-000000000009,2026-04-13,200,150,250.0,100,3,4000000,MEDIUM,Completed,주말 수요 증가 대비 사전 발주,d1000001-0001-4000-8000-000000000001,b1000001-0001-4000-8000-000000000001,e1000001-0001-4000-8000-000000000001
f7000001-0010-4000-8000-000000000010,2026-04-13,70,40,90.0,60,4,1750000,HIGH,Completed,프로모션 계획 대비 추가 재고 확보,d1000001-0005-4000-8000-000000000005,b1000001-0004-4000-8000-000000000004,e1000001-0002-4000-8000-000000000002
